ulasan,label
Setelah selesai mengikuti kursus tapi susah untuk mendapatkan sertifikat nya,Positif
Ini bagus banget jadi tambah pinter. Tapi setelah di update kenapa terhubung ke sarver jadi malah lama banget ke bukanya ya Ã°Å¸ËœÂ¢ jadi susah buat belajar lagi. Tolong segera di perbaiki ya,Negatif
Mau langganan binar go waktu pembayaran ga bisa force close app nya,Netral
Kok eror ya aplikasinya .. Muter muter terus?,Sangat Negatif
Loading mulu ga jelas. Padahal jaringan ku bagus,Sangat Negatif
"Baru download sih, tapi ini rekomended sih menurut gw bahasa nya mudah dipahami + gambar yang enak di liat , semoga saja bisa bermanfaat untuk aku dan temanÃ‚Â² Ã°Å¸ËœÅ’",Positif
Sering keluar sendiri,Netral
"Padahal sebelumnya aplikasi ini masih bagus2 aja, tapi sekarang kok kayak loading mulu yah, padahal jaringan gw bagus",Negatif
"Maaf setelah update, malah koneksi ke server lambat malah loading terus. Banyak menu yg ngeglitch. Tolong diperbaiki.",Negatif
"Sudah 1 minggu kebelakang binar bootcamp tidak bisa dibuka, hanya loading terus-menerus, kehilangan kesempatan bergabung dipromo ultah binar,",Netral
"Bug banyak, pembayaran masih kuno masih pake google play yang banyak gangguannya masih mending pake midtrans cepet ngak ribet",Sangat Negatif
"Maaf min aplikasi nya eror, mohon perbaikannya bagian profile dan akses lewat mobile app nya",Sangat Negatif
Padahal yang punya binar ex orang gojek tapi appsnya kaya buatan mahasiswa baru belajar pemrograman mobile,Sangat Negatif
Oke jga,Positif
"Mau heran, tapi liat Quiz di FB tentang Kemampuan Yang Cocok aja, gak ada jawaban.. malah jadi nawarin Produk.. website MBTI aja ngasih tau kok Personality kita tanpa harus bayar dulu.. Ã°Å¸Ëœâ€š",Sangat Negatif
Semoga ketrampilan digital saya semakin meningkat,Positif
Cara belajarnya seru tapi sekarang kok gak bisa diakses ya,Sangat Negatif
"Buang buang waktu,udah bayar 3,5 juta, gak bisa refund",Sangat Negatif
Belajar,Sangat Negatif
Salah satu tempat bootcamp terbaik di Indonesia.,Sangat Positif
Perbaiki donk aplikasinya. Banyak bug nya nih aplikasi jadi males langganan,Sangat Negatif
Saya tidak memberikan bintang 5 sebelum pertanyaan saya di jawab okeh!!,Sangat Negatif
Update ke versi 6 parah sihh ada bugs tp lama penanganan nya... Level gold sy jd ga bisa di gunakan trus level silver sy harus dr ulang... Ini abis update emang ga di rollback dulu yaa?,Netral
Belum faham.,Positif
Top Banget,Sangat Positif
"Sangat kurang bgus,harus di perbaiki bug y,jangan terlalu bug dan bug",Sangat Negatif
Ok,Netral
Terbarukan...,Positif
Ok,Sangat Positif
Pengalam saya tentang bantuan bensos yg saya tidak perna terimadr thn 2o2oblnapril smp sekarang 2o22 trimakasih mohon kepdulian Bapa2 pengurus,Netral
Opsional,Sangat Negatif
"Pembayarannya sulit, cs d hub juga sulit",Sangat Negatif
"T.h5.&,",Sangat Negatif
AmazingÃ°Å¸â€˜ÂÃ°Å¸â€˜Â,Sangat Positif
Sangat bermanfaat,Positif
Bagus,Sangat Negatif
Mantapss,Sangat Positif
Mantap,Sangat Positif
Kok Ng kami Ng pakek cair,Sangat Negatif
Bagus,Sangat Positif
Mantap sekaliÃ°Å¸â€˜Â,Sangat Positif
Ok,Sangat Positif
Ã°Å¸â€˜ÂÃ°Å¸â€˜ÂÃ°Å¸â€˜ÂÃ°Å¸â€˜ÂÃ°Å¸â€˜ÂÃ°Å¸â€˜ÂÃ°Å¸â€˜Â,Positif
"Kurang rekoment si, soal nya banyk errornya dan bug nya. Jelek",Sangat Negatif
Baik,Sangat Positif
"Wasting time! No offense ya min, tapi sepertinya masih ada bug waktu saya jawab quiz di materi silver. Jawabannya benar, namun terdeteksi jawaban saya salah, tapi bisa lanjut ke slide selanjutnya. Lalu, setiap lanjut ke slide berikutnya membutuhkan waktu yang lama. Padahal pindah-pindah menu di apps lancar.",Sangat Negatif
Pendaptar bantuan BLT .BBM,Negatif
Aplikasi pembelajaran yg keren,Sangat Positif
ok,Negatif
Saya sangat senang dgn akun ini semua info SDH tercantum di akun ini smg teman teman bermanfaat senang dgn binar,Sangat Positif
"Program studi independennya kacau, di awal katanya dapet uang kuota tapi ternyata sampai program berakhir masih belum ada kejelasan",Sangat Negatif
gwood,Sangat Positif
ingin mempermudahkan anak 2 kedalam jenjang pendidikan,Negatif
